date,account_name,category_name,payee_name,memo,amount,cleared,approved
2024-08-31,Ally Spending,Personal Care,Love Salon Corporation Street Road,,-42000,cleared,True
2024-08-31,Ally Spending Alt,Inflow: Ready to Assign,Starting Balance,,10010,cleared,True
2024-08-31,Ally Spending,Inflow: Ready to Assign,Starting Balance,,923300,cleared,True
2024-08-31,Savings,Inflow: Ready to Assign,Starting Balance,,1200010,cleared,True
2024-08-31,Spending,Inflow: Ready to Assign,Starting Balance,,1205900,cleared,True
2024-08-31,Ally Savings,Inflow: Ready to Assign,Starting Balance,,2901340,cleared,True
2024-08-31,Bills,Inflow: Ready to Assign,Starting Balance,,5660450,cleared,True
2024-09-03,Bills,Mortgage,PennyMac,,-3981060,cleared,True
2024-09-03,Ally Spending,Therapy,Transfer to Venmo,,-130000,cleared,True
2024-09-03,Bills,Trash Service,Recurring Payment Whitetail Disposal,,-105000,cleared,True
2024-09-03,Bills,Transportation,E-ZPass,,-100000,cleared,True
2024-09-03,Spending,Eating Out,Farmers Fisher Washington Dc,,-99200,cleared,True
2024-09-03,Spending,Eating Out,Himalayan Wild Yak Ashburn Va,,-91170,cleared,True
2024-09-03,Spending,Eating Out,Good Company D,,-78540,cleared,True
2024-09-03,Bills,Therapy,BetterHelp,,-65000,cleared,True
2024-09-03,Spending,Eating Out,Blue Ridge Grill,,-63530,cleared,True
2024-09-03,Spending,Transportation,Sunoco,,-47050,cleared,True
2024-09-03,Spending,Eating Out,DoorDash,,-40360,cleared,True
2024-09-03,Spending,Groceries,Baker's Daugh Washington Dc,,-33990,cleared,True
2024-09-03,Spending,Entertainment,AMC Theatres,,-27470,cleared,True
2024-09-03,Spending,Transportation,Shell,,-25660,cleared,True
2024-09-03,Spending,Groceries,Starbucks,,-25000,cleared,True
2024-09-03,Spending,Transportation,Metropolis,,-23100,cleared,True
2024-09-03,Spending,Eating Out,Rebel Taco Brambleton Va,,-22670,cleared,True
2024-09-03,Spending,Fitness,Great Falls Park Maclean Va,,-20000,cleared,True
2024-09-03,Spending,Personal Care,Transfer to Venmo,,-15000,cleared,True
2024-09-03,Spending,Groceries,The Creamery Great Falls Va,,-14500,cleared,True
2024-09-03,Spending,Groceries,Manhattan Bag Southampton Pa,,-12560,cleared,True
2024-09-03,Bills,Online Tools,Apple Credit Card,,-10590,cleared,True
2024-09-03,Bills,Gym Membership,Recurring Payment Reach Climbing Reachclimbing Pa,,-10000,cleared,True
2024-09-03,Bills,Online Tools,Apple,,-7410,cleared,True
2024-09-03,Spending,Groceries,Pmusa Arlin,,-450,cleared,True
2024-09-04,Spending,Groceries,Instacart,,-162080,cleared,True
2024-09-04,Spending,Groceries,Baker's Daugh Washington Dc,,-41320,cleared,True
2024-09-05,Bills,Personal Loan,"Upgrade, Inc.",,-237250,cleared,True
2024-09-05,Bills,Transportation,E-ZPass,,-100000,cleared,True
2024-09-05,Savings,Uncategorized,Transfer : Spending,,-56100,cleared,True
2024-09-05,Spending,Eating Out,Chaia Tacos,,-47940,cleared,True
2024-09-05,Spending,Transportation,Metropolis,,-46200,cleared,True
2024-09-05,Spending,Groceries,Tatte Bakery & Cafe,,-40430,cleared,True
2024-09-05,Spending,Eating Out,Muncheez Geo Washington Dc,,-37360,cleared,True
2024-09-05,Spending,Groceries,Dog Tag Bakery Washington Dc,,-12550,cleared,True
2024-09-05,Spending,Household Goods,FedEx,,-810,cleared,True
2024-09-05,Spending,Uncategorized,Transfer : Savings,,56100,cleared,True
2024-09-06,Savings,Uncategorized,Transfer : Spending,,-329300,cleared,True
2024-09-06,Spending,Eating Out,River Club Washington Dc,,-166520,cleared,True
2024-09-06,Spending,Groceries,Tatte Bakery & Cafe,,-57490,cleared,True
2024-09-06,Spending,Transportation,Uber Trip,,-16950,cleared,True
2024-09-06,Spending,Groceries,Eats Georgetow,,-13920,cleared,True
2024-09-06,Bills,Online Tools,Apple,,-7410,cleared,True
2024-09-06,Spending,Uncategorized,Transfer : Savings,,329300,cleared,True
2024-09-08,Ally Spending,Furnishing,The Home Depot,,-254390,cleared,True
2024-09-08,Ally Spending,Home Maintenance,The Home Depot,,-200340,cleared,True
2024-09-09,Savings,Uncategorized,Transfer : Spending,,-438010,cleared,True
2024-09-09,Ally Spending,Uncategorized,Ems Valley Square,,-249590,cleared,True
2024-09-09,Spending,Medical,1-800 CONTACTS,,-194980,cleared,True
2024-09-09,Bills,Therapy,BetterHelp,,-65000,cleared,True
2024-09-09,Bills,Landscaping,Recurring Payment Lawncare Lawnstar Lawn Tx,,-62530,cleared,True
2024-09-09,Spending,Eating Out,DoorDash,,-57320,cleared,True
2024-09-09,Spending,Eating Out,DoorDash,,-44240,cleared,True
2024-09-09,Spending,Transportation,Sunoco,,-41790,cleared,True
2024-09-09,Spending,Eating Out,DoorDash,,-40360,cleared,True
2024-09-09,Spending,Groceries,Baker's Daugh Washington Dc,,-33990,cleared,True
